Country Code,Country Name,Region Code,Region,2012,2013,2014,2015,2016,2017,2018
AUS,Australia,EAP,East Asia & Pacific,22733465,23128129,23475686,23815995,24190907,24594202,24966643
BEL,Belgium,ECA,Europe & Central Asia,11106932,11159407,11209057,11274196,11331422,11375158,11427054
BHR,Bahrain,MEA,Middle East & North Africa,1224939,1261673,1311134,1362142,1409661,1456834,1487340
BRA,Brazil,LAC,Latin America & Caribbean,199977707,201721767,203459650,205188205,206859578,208504960,210166592
CHN,China,EAP,East Asia & Pacific,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000
COL,Colombia,LAC,Latin America & Caribbean,45782417,46237930,46677947,47119728,47625955,48351671,49276961
CUB,Cuba,LAC,Latin America & Caribbean,11309290,11321579,11332026,11339894,11342012,11336405,11328244
ESP,Spain,ECA,Europe & Central Asia,46773055,46620045,46480882,46444832,46484062,46593236,46797754
HRV,Croatia,ECA,Europe & Central Asia,4267558,4255689,4238389,4203604,4174349,4124531,4087843
JPN,Japan,EAP,East Asia & Pacific,127629000,127445000,127276000,127141000,127076000,126972000,126811000
KWT,Kuwait,MEA,Middle East & North Africa,3394663,3646518,3761584,3908743,4048085,4124904,4317185
RUS,Russian Federation,ECA,Europe & Central Asia,143201721,143506995,143819667,144096870,144342397,144496739,144477859
SVK,Slovak Republic,ECA,Europe & Central Asia,5407579,5413393,5418649,5423801,5430798,5439232,5446771
